hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-07 20:00:00,1713.0,6,20,Sunday,True,1767.7083333333333,2577.315476190476,1542.0,-992.6276881720432,171.0,0.2215069267946916
2024-01-07 21:00:00,1417.0,6,21,Sunday,True,2019.5833333333333,2585.5238095238096,1269.75,-1264.8776881720432,147.25,0.180326578369064
2024-01-07 22:00:00,1140.0,6,22,Sunday,True,2152.0,2590.4583333333335,1070.5,-1464.1276881720432,69.5,0.04551512194411471
2024-01-07 23:00:00,809.0,6,23,Sunday,True,2207.375,2592.4226190476193,773.25,-1761.3776881720432,35.75,-0.013004320555461347
2024-01-08 00:00:00,473.0,0,0,Monday,False,2276.0833333333335,2593.9761904761904,744.6,-1790.0276881720433,-271.6,-0.5459213769182674
2024-01-08 01:00:00,253.0,0,1,Monday,False,2337.5833333333335,2594.1190476190477,646.2,-1888.4276881720432,-393.20000000000005,-0.7567647608574807
2024-01-08 02:00:00,169.0,0,2,Monday,False,2375.5416666666665,2595.3869047619046,504.6,-2030.0276881720433,-335.6,-0.6568915789915375
2024-01-08 03:00:00,137.0,0,3,Monday,False,2418.2916666666665,2597.2678571428573,309.8,-2224.827688172043,-172.8,-0.3746111274676565
2024-01-08 04:00:00,205.0,0,4,Monday,False,2480.125,2599.7083333333335,264.4,-2270.227688172043,-59.39999999999998,-0.17798580066908093
2024-01-08 05:00:00,746.0,0,5,Monday,False,2586.625,2602.5773809523807,548.6,-1986.0276881720433,197.39999999999998,0.2672821351499155
2024-01-08 06:00:00,2128.0,0,6,Monday,False,2784.5,2606.714285714286,1349.4,-1185.2276881720431,778.5999999999999,1.2750302827278
2024-01-08 07:00:00,4625.0,0,7,Monday,False,2983.5,2614.2738095238096,2747.4,212.77231182795686,1877.6,3.180596721454736
2024-01-08 08:00:00,6780.0,0,8,Monday,False,3103.0,2621.9880952380954,4256.4,1721.7723118279564,2523.6000000000004,4.300702198631807
2024-01-08 09:00:00,4407.0,0,9,Monday,False,3172.8333333333335,2627.5238095238096,3231.0,696.3723118279568,1176.0,1.964085881226512
2024-01-08 10:00:00,2962.0,0,10,Monday,False,3213.1666666666665,2631.809523809524,2578.4,43.772311827956855,383.5999999999999,0.5901360668068357
2024-01-08 11:00:00,3051.0,0,11,Monday,False,3240.125,2635.3809523809523,2737.4,202.77231182795686,313.5999999999999,0.4687624082891965
2024-01-08 12:00:00,3353.0,0,12,Monday,False,3266.6666666666665,2638.7380952380954,3178.8,644.172311827957,174.19999999999982,0.22705543689835478
2024-01-08 13:00:00,3746.0,0,13,Monday,False,3273.5416666666665,2640.779761904762,3466.8,932.172311827957,279.1999999999998,0.4091159246748136
2024-01-08 14:00:00,4566.0,0,14,Monday,False,3277.0416666666665,2642.1309523809523,3969.4,1434.7723118279569,596.5999999999999,0.959458770581938
2024-01-08 15:00:00,5319.0,0,15,Monday,False,3278.75,2642.845238095238,4426.0,1891.3723118279568,893.0,1.4733895189337705
2024-01-08 16:00:00,6175.0,0,16,Monday,False,3278.6666666666665,2643.279761904762,4820.8,2286.172311827957,1354.1999999999998,2.2730685376242734
2024-01-08 17:00:00,7695.0,0,17,Monday,False,3279.4166666666665,2643.404761904762,5354.8,2820.172311827957,2340.2,3.9827032133155917
2024-01-08 18:00:00,7439.0,0,18,Monday,False,3283.25,2643.654761904762,5153.8,2619.172311827957,2285.2,3.887338195908875
2024-01-08 19:00:00,5164.0,0,19,Monday,False,3294.4583333333335,2645.1488095238096,3750.2,1215.5723118279566,1413.8000000000002,2.3764095383050066
2024-01-08 20:00:00,3389.0,0,20,Monday,False,3322.7083333333335,2649.5416666666665,2557.4,22.772311827956855,831.5999999999999,1.3669274813197267
2024-01-08 21:00:00,2385.0,0,21,Monday,False,3389.0416666666665,2657.1011904761904,1813.2,-721.4276881720432,571.8,0.9164578172785459
2024-01-08 22:00:00,1787.0,0,22,Monday,False,3434.7083333333335,2662.7738095238096,1281.2,-1253.4276881720432,505.79999999999995,0.802019796390486
2024-01-08 23:00:00,1446.0,0,23,Monday,False,3455.2916666666665,2667.6785714285716,886.2,-1648.4276881720432,559.8,0.8956509043898078
2024-01-09 00:00:00,638.0,1,0,Tuesday,False,3410.625,2673.1488095238096,468.0,-2066.6276881720432,170.0,0.21977301738729677
2024-01-09 01:00:00,337.0,1,1,Tuesday,False,3355.7916666666665,2679.2380952380954,232.0,-2302.6276881720432,105.0,0.10706890590663175
2024-01-09 02:00:00,210.0,1,2,Tuesday,False,3272.0,2685.214285714286,158.2,-2376.4276881720434,51.80000000000001,0.014824925433225954
2024-01-09 03:00:00,135.0,1,3,Tuesday,False,3142.75,2693.1309523809523,109.6,-2425.0276881720433,25.400000000000006,-0.030950282921997994
2024-01-09 04:00:00,223.0,1,4,Tuesday,False,2990.7083333333335,2700.1011904761904,173.4,-2361.227688172043,49.599999999999994,0.011010324736957263
2024-01-09 05:00:00,838.0,1,5,Tuesday,False,2808.4166666666665,2706.5,689.8,-1844.8276881720433,148.20000000000005,0.18197379230608918
2024-01-09 06:00:00,2397.0,1,6,Tuesday,False,2555.625,2709.8809523809523,1954.6,-580.0276881720433,442.4000000000001,0.692089939961653
2024-01-09 07:00:00,5303.0,1,7,Tuesday,False,2298.5416666666665,2714.8928571428573,4081.2,1546.5723118279566,1221.8000000000002,2.043498932085196
2024-01-09 08:00:00,8372.0,1,8,Tuesday,False,2118.3333333333335,2720.2380952380954,6323.4,3788.7723118279564,2048.6000000000004,3.4770952301192555
2024-01-09 09:00:00,5503.0,1,9,Tuesday,False,1996.1666666666667,2723.910714285714,4261.6,1726.9723118279571,1241.3999999999996,2.0774835564701344
2024-01-09 10:00:00,3456.0,1,10,Tuesday,False,1909.0833333333333,2727.4940476190477,2573.8,39.172311827956946,882.1999999999998,1.454663297333906
2024-01-09 11:00:00,1979.0,1,11,Tuesday,False,1845.3333333333333,2725.0416666666665,2131.4,-403.22768817204314,-152.4000000000001,-0.33923937555680184
2024-01-09 12:00:00,2037.0,1,12,Tuesday,False,1791.4166666666667,2719.6488095238096,2354.4,-180.22768817204314,-317.4000000000001,-0.6253344277769515
2024-01-09 13:00:00,1735.0,1,13,Tuesday,False,1769.0416666666667,2715.309523809524,2575.0,40.372311827956764,-840.0,-1.531475484081498
2024-01-09 14:00:00,1464.0,1,14,Tuesday,False,1759.5,2711.845238095238,2904.6,369.9723118279567,-1440.6,-2.5728614741628424
2024-01-09 15:00:00,1670.0,1,15,Tuesday,False,1754.5,2709.5119047619046,3415.8,881.172311827957,-1745.8000000000002,-3.10205062529975
2024-01-09 16:00:00,1800.0,1,16,Tuesday,False,1753.625,2708.2619047619046,4041.4,1506.7723118279569,-2241.4,-3.9613761276046353
2024-01-09 17:00:00,1628.0,1,17,Tuesday,False,1753.0833333333333,2707.815476190476,5329.2,2794.5723118279566,-3701.2,-6.492537080519631
2024-01-09 18:00:00,1269.0,1,18,Tuesday,False,1748.25,2707.8690476190477,4766.4,2231.7723118279564,-3497.3999999999996,-6.139166343292562
2024-01-09 19:00:00,839.0,1,19,Tuesday,False,1743.25,2707.5773809523807,3289.6,754.9723118279567,-2450.6,-4.324109975631637
2024-01-09 20:00:00,457.0,1,20,Tuesday,False,1733.9583333333333,2706.720238095238,2124.8,-409.82768817204305,-1667.8000000000002,-2.9668056915229517
2024-01-09 21:00:00,295.0,1,21,Tuesday,False,1710.75,2707.7261904761904,1590.8,-943.8276881720433,-1295.8,-2.3217913919720687
2024-01-09 22:00:00,257.0,1,22,Tuesday,False,1698.7083333333333,2708.154761904762,1186.2,-1348.4276881720432,-929.2,-1.6861402032211183
2024-01-09 23:00:00,152.0,1,23,Tuesday,False,1692.4583333333333,2714.3273809523807,706.2,-1828.4276881720432,-554.2,-1.0359241754480508
2024-01-10 00:00:00,101.0,2,0,Wednesday,False,1738.0,2723.1309523809523,411.0,-2123.6276881720432,-310.0,-0.6125034981622294
2024-01-10 01:00:00,108.0,2,1,Wednesday,False,1797.2916666666667,2726.0059523809523,226.6,-2308.0276881720433,-118.6,-0.2806332375868558
